2023-04-26 21:07:33.129 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-04-26 21:07:33.130 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-04-26 21:07:33.783 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Starting...
2023-04-26 21:07:33.936 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.pool.HikariPool - MakuHikariCP - Added connection com.mysql.cj.jdbc.ConnectionImpl@48edf1e0
2023-04-26 21:07:33.937 [http-nio-8080-exec-3] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Start completed.
2023-04-26 21:09:02.098 [SpringApplicationShutdownHook] INFO  c.a.c.s.boot.oss.context.OssApplicationListener - 0 OSSClients will be shutdown soon
2023-04-26 21:09:02.155 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown initiated...
2023-04-26 21:09:02.159 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - MakuHikariCP - Shutdown completed.
2023-04-26 21:09:05.643 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2023-04-26 21:09:05.686 [main] INFO  top.lilong.ServerApplication - Starting ServerApplication using Java 17.0.5 with PID 15308 (E:\nangong\大三\practise\api-boot2\api-server\target\classes started by 李龙 in E:\nangong\大三\practise\api-boot2)
2023-04-26 21:09:05.687 [main] INFO  top.lilong.ServerApplication - The following 1 profile is active: "dev"
2023-04-26 21:09:06.455 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-04-26 21:09:06.457 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-26 21:09:06.488 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18 ms. Found 0 Redis repository interfaces.
2023-04-26 21:09:07.084 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-26 21:09:07.091 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-26 21:09:07.091 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-26 21:09:07.091 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.7]
2023-04-26 21:09:07.186 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-26 21:09:07.186 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1466 ms
2023-04-26 21:09:08.977 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@66456506, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@69944a90, org.springframework.security.web.context.SecurityContextHolderFilter@1324e70a, org.springframework.security.web.header.HeaderWriterFilter@6c19769c, org.springframework.security.web.authentication.logout.LogoutFilter@5fd4e67f, top.lilong.security.filter.AuthenticationTokenFilter@12f51a65, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@72d16d6, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7b0525a8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1ed52f44, org.springframework.security.web.session.SessionManagementFilter@6109d880, org.springframework.security.web.access.ExceptionTranslationFilter@e2f6a45, org.springframework.security.web.access.intercept.AuthorizationFilter@147375b3]
2023-04-26 21:09:09.324 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-04-26 21:09:09.350 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-04-26 21:09:09.359 [main] INFO  top.lilong.ServerApplication - Started ServerApplication in 4.111 seconds (process running for 5.113)
